,uid,iid,r_ui,est,details
54,AT6CZDCP4TRGA,B00026IN1U,4.0,3.4186046511627906,"{'actual_k': 0, 'was_impossible': False}"
55,AT2J7H5TRZM8Z,B00005BIB8,1.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
56,A1VQHH85U7PX0,B000FNDWLQ,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
57,A1RPTVW5VEOSI,B00009R8VM,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
58,A25HBO5V8S8SEA,B00009V6U1,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
59,A2R6RA8FRBS608,B00004SYKO,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
60,A5JLAU2ARJ0BO,B00008XPAR,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
61,A11D1KHM7DVOQK,B000BC8VV2,3.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
62,AWPODHOB4GFWL,B0007Y79AI,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
63,A149RNR5RH19YY,B0002UBDDG,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
64,A1F9Z42CFF9IAY,B00030CHRQ,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
65,A149RNR5RH19YY,B00003006E,5.0,3.816326530612245,"{'actual_k': 0, 'was_impossible': False}"
66,A5JLAU2ARJ0BO,B0002ZA7I8,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
67,AWPODHOB4GFWL,B0007OWNCC,4.0,4.523809523809524,"{'actual_k': 0, 'was_impossible': False}"
68,A25HBO5V8S8SEA,B0000XLXI0,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
69,A3NCIN6TNL0MGA,B000065BPA,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
70,A5JLAU2ARJ0BO,B0001NYKCK,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
71,A1JWSDDIH5Z7DV,B00005U7SD,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
72,A6FIAB28IS79,B00000J05A,3.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
73,A12DLJESJKM1OQ,B000A7B9XK,5.0,4.288888888888889,"{'actual_k': 0, 'was_impossible': False}"
74,A203OCQQ12MAVT,B0000X0VCY,5.0,4.349206349206349,"{'actual_k': 0, 'was_impossible': False}"
75,AT2J7H5TRZM8Z,B00005QXWH,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
76,AGXV8E7XK9J6H,B00091SBU6,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
77,A231WM2Z2JL0U3,B00009Q96Z,4.0,4.285714285714286,"{'actual_k': 0, 'was_impossible': False}"
78,A25HBO5V8S8SEA,B00007B8VK,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
79,A2R6RA8FRBS608,B0000CFYMB,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
80,A25HBO5V8S8SEA,B00007KDVI,2.0,5.0,"{'actual_k': 0, 'was_impossible': False}"
81,A231WM2Z2JL0U3,B00005KB24,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
82,A5JLAU2ARJ0BO,B00007E7L4,1.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
83,AGHZXQL9F94T9,B00008OE5G,4.0,3.2549019607843137,"{'actual_k': 0, 'was_impossible': False}"
84,A231WM2Z2JL0U3,B00006LHEE,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
85,A2R6RA8FRBS608,B0002344GQ,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
86,A2R6RA8FRBS608,B000E8P7Z6,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
87,A231WM2Z2JL0U3,B00005B8HO,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
88,A231WM2Z2JL0U3,B0000632FZ,5.0,4.285714285714286,"{'actual_k': 0, 'was_impossible': False}"
89,A6FIAB28IS79,B00006B722,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
90,A7Y6AVS576M03,B000GW5J58,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
91,A25HBO5V8S8SEA,B0000U1OD2,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
92,A2R6RA8FRBS608,B000089SEY,2.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
93,A231WM2Z2JL0U3,B00005Q7DG,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
94,A231WM2Z2JL0U3,B00005NDUP,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
95,AT6CZDCP4TRGA,B00009ETMA,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
96,A1MJMYLRTZ76ZX,B000021YUO,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
97,A231WM2Z2JL0U3,B00005T3T6,5.0,4.285714285714286,"{'actual_k': 0, 'was_impossible': False}"
98,A1F9Z42CFF9IAY,B00062UKIY,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
99,A25HBO5V8S8SEA,B0000X0VBU,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
100,AT6CZDCP4TRGA,B0000E6S0Y,3.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
101,A2R6RA8FRBS608,B0007YFQH6,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
102,A12DLJESJKM1OQ,B00008GK6Y,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
103,AKT8TGIT6VVZ5,B000021YU8,5.0,4.783132530120482,"{'actual_k': 0, 'was_impossible': False}"
104,AT6CZDCP4TRGA,B000068PL7,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
105,A1JWSDDIH5Z7DV,B00008WIX1,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
106,A12DLJESJKM1OQ,B0000899R7,2.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
107,A2CL818RN52NWN,B0001LXQIQ,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
108,A6FIAB28IS79,B00006I5WJ,5.0,4.1454545454545455,"{'actual_k': 0, 'was_impossible': False}"
109,AT6CZDCP4TRGA,B00009L1RI,4.0,3.4186046511627906,"{'actual_k': 0, 'was_impossible': False}"
110,A231WM2Z2JL0U3,B0000630TO,5.0,4.285714285714286,"{'actual_k': 0, 'was_impossible': False}"
111,A1FR68QH6Z4YZM,B0000B1J82,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
112,A1MJMYLRTZ76ZX,B000GABVOS,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
113,A2B7BUH8834Y6M,B0002Y3M9K,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
114,A231WM2Z2JL0U3,B000051TNA,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
115,A11D1KHM7DVOQK,B0007RB1X6,2.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
116,A5JLAU2ARJ0BO,B000DZDQ26,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
117,A2CL818RN52NWN,B0000EWNWE,4.0,4.5227272727272725,"{'actual_k': 0, 'was_impossible': False}"
118,A1ODOGXEYECQQ8,B000855034,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
119,ABH9D1TEOJ56E,B00005UKXM,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
120,A5JLAU2ARJ0BO,B000086G0D,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
121,A5JLAU2ARJ0BO,B00007E8YT,5.0,3.8677966101694916,"{'actual_k': 0, 'was_impossible': False}"
122,A231WM2Z2JL0U3,B00006B1HC,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
123,A680RUE1FDO8B,B0007UY662,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
124,AKT8TGIT6VVZ5,B00020A8RI,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
125,ALUNVOQRXOZIA,B00004RC2D,5.0,3.675675675675676,"{'actual_k': 0, 'was_impossible': False}"
126,A2B7BUH8834Y6M,B0006FTKXM,3.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
127,A7Y6AVS576M03,B00004YMBK,5.0,4.686274509803922,"{'actual_k': 0, 'was_impossible': False}"
128,A38QEATH3NODFM,B0001KUD88,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
129,A5JLAU2ARJ0BO,B00006OX9D,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
130,AT6CZDCP4TRGA,B00093IIRA,3.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
131,A1F9Z42CFF9IAY,B00000JDGO,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
132,A231WM2Z2JL0U3,B0000658CG,5.0,4.285714285714286,"{'actual_k': 0, 'was_impossible': False}"
133,A2AEZQ3DGBBLPR,B00009KO3A,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
134,A25HBO5V8S8SEA,B0002CEUMU,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
135,A11D1KHM7DVOQK,B0006HTPQ2,4.0,3.0759493670886076,"{'actual_k': 0, 'was_impossible': False}"
136,A5JLAU2ARJ0BO,B000088NO8,2.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
137,A1ODOGXEYECQQ8,B000F9YN22,4.0,4.410256410256411,"{'actual_k': 0, 'was_impossible': False}"
138,AKT8TGIT6VVZ5,B000EW9Y4M,5.0,4.783132530120482,"{'actual_k': 0, 'was_impossible': False}"
139,A38QEATH3NODFM,B000BT2PZS,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
140,A25HBO5V8S8SEA,B00009M953,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
141,A231WM2Z2JL0U3,B00006JKXN,4.0,4.285714285714286,"{'actual_k': 0, 'was_impossible': False}"
142,A2AEZQ3DGBBLPR,B000063W55,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
143,A1RPTVW5VEOSI,B0002DCJT0,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
144,A149RNR5RH19YY,B000FJJASO,5.0,3.816326530612245,"{'actual_k': 0, 'was_impossible': False}"
145,A1VQHH85U7PX0,B00011KLKM,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
146,AGHZXQL9F94T9,B000065UTC,4.0,3.2549019607843137,"{'actual_k': 0, 'was_impossible': False}"
147,AT6CZDCP4TRGA,B000GLQK20,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
148,AWPODHOB4GFWL,B0009KMSL0,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
149,A231WM2Z2JL0U3,B00005OAY3,3.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
150,A2R6RA8FRBS608,B0009RKL5S,4.0,4.37037037037037,"{'actual_k': 0, 'was_impossible': False}"
151,ABH9D1TEOJ56E,B0000DKHIP,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
152,A231WM2Z2JL0U3,B0000DF2QB,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
153,A2BGZ52M908MJY,B00004ZCNS,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
154,AGXV8E7XK9J6H,B00004WCG6,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
155,A5JLAU2ARJ0BO,B0000AINEH,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
156,A6FIAB28IS79,B000AJIF4E,5.0,2.496331738437002,"{'actual_k': 1, 'was_impossible': False}"
157,AKT8TGIT6VVZ5,B00005LEOM,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
158,A5JLAU2ARJ0BO,B0000658CD,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
159,A203OCQQ12MAVT,B000GWTDL4,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
160,A1FR68QH6Z4YZM,B00005LE72,4.0,4.787234042553192,"{'actual_k': 0, 'was_impossible': False}"
161,A203OCQQ12MAVT,B00008IHNK,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
162,AKT8TGIT6VVZ5,B0002R283S,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
163,AT6CZDCP4TRGA,B000BKF6TO,3.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
164,AGXV8E7XK9J6H,B0000AKVHF,5.0,4.2894736842105265,"{'actual_k': 0, 'was_impossible': False}"
165,A680RUE1FDO8B,B000ANOY7M,2.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
166,AT6CZDCP4TRGA,B0006VX1G8,1.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
167,AT6CZDCP4TRGA,B00008N6XG,2.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
168,A25HBO5V8S8SEA,B0000CA1IH,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
169,A1435P5AMCPB3X,B000087KY8,4.0,4.431372549019608,"{'actual_k': 0, 'was_impossible': False}"
170,A25HBO5V8S8SEA,B0001F1ZY4,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
171,A38QEATH3NODFM,B00000J3G3,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
172,AKT8TGIT6VVZ5,B0002KTYAA,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
173,A2AEZQ3DGBBLPR,B00000JFMK,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
174,A11D1KHM7DVOQK,B000084FD5,1.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
175,A25HBO5V8S8SEA,B00005AC8J,5.0,5.0,"{'actual_k': 0, 'was_impossible': False}"
176,ABH9D1TEOJ56E,B000063LHM,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
177,AGXV8E7XK9J6H,B0000CD0B7,5.0,4.2894736842105265,"{'actual_k': 0, 'was_impossible': False}"
178,AGXV8E7XK9J6H,B0000AE67H,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
179,A680RUE1FDO8B,B000IDCDZY,3.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
180,A1MJMYLRTZ76ZX,B00000J434,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
181,A231WM2Z2JL0U3,B0000898TE,5.0,4.285714285714286,"{'actual_k': 0, 'was_impossible': False}"
182,A2AEZQ3DGBBLPR,B00007FCUK,1.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
183,A149RNR5RH19YY,B000089GN3,5.0,3.816326530612245,"{'actual_k': 0, 'was_impossible': False}"
184,ABH9D1TEOJ56E,B000087BX8,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
185,A2XRMQA6PJ5ZJ8,B000144HZE,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
186,A149RNR5RH19YY,B00026CX6Q,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
187,AWPODHOB4GFWL,B00013MLGM,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
188,A680RUE1FDO8B,B0009I96LM,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
189,AKT8TGIT6VVZ5,B00005LENW,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
190,A1JWSDDIH5Z7DV,B0006PK8R4,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
191,A231WM2Z2JL0U3,B00006SG3W,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
192,A5JLAU2ARJ0BO,B00008VFCS,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
193,A25HBO5V8S8SEA,B00006HP8E,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
194,A5JLAU2ARJ0BO,B0000BZG0P,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
195,AT2J7H5TRZM8Z,B000066R6S,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
196,A1ODOGXEYECQQ8,B000A2EXHO,2.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
197,A11D1KHM7DVOQK,B0007Y79AI,4.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
198,AKT8TGIT6VVZ5,B00009XV96,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
199,A2BGZ52M908MJY,B00004W3YX,4.0,4.51984126984127,"{'actual_k': 1, 'was_impossible': False}"
200,A3OXHLG6DIBRW8,B000F7QRTG,5.0,4.492063492063492,"{'actual_k': 0, 'was_impossible': False}"
201,AWPODHOB4GFWL,B00006JQLG,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
202,A2AEZQ3DGBBLPR,B000071NY3,5.0,4.0,"{'actual_k': 0, 'was_impossible': False}"
203,A1VQHH85U7PX0,B00020E4QO,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
204,A1RPTVW5VEOSI,B00000J061,5.0,4.0,"{'actual_k': 0, 'was_impossible': False}"
205,A1F9Z42CFF9IAY,B0006Q7FFG,1.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
206,A3NCIN6TNL0MGA,B00007JDR0,5.0,4.425,"{'actual_k': 0, 'was_impossible': False}"
207,A3OXHLG6DIBRW8,B0006VHZJ2,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
208,A5JLAU2ARJ0BO,B00008N6X4,4.0,3.8677966101694916,"{'actual_k': 0, 'was_impossible': False}"
209,A2R6RA8FRBS608,B0000E1717,5.0,4.37037037037037,"{'actual_k': 0, 'was_impossible': False}"
210,A7Y6AVS576M03,B000065UWF,5.0,4.216205043406366,"{'was_impossible': True, 'reason': 'User and/or item is unknown.'}"
